,age,education,balance,day,duration,campaign,pdays,previous,subscribed,default_yes,default_nan,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_nan,marital_married,marital_single,marital_nan,housing_yes,housing_nan,loan_yes,loan_nan,contact_telephone,contact_nan,month_aug,month_dec,month_feb,month_jan,month_jul,month_jun,month_mar,month_may,month_nov,month_oct,month_sep,month_nan
0,32.0,3.0,-0.1101871101871102,1,3.0944206008583692,2,-0.29101283880171186,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,39.0,2.0,0.09494109494109494,1,-0.012875536480686695,2,-0.2796005706134094,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,59.0,2.0,0.3354123354123354,1,-0.4721030042918455,2,0.3252496433666191,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,47.0,2.0,-0.10602910602910603,1,0.1630901287553648,1,0.3195435092724679,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,54.0,2.0,0.31392931392931395,1,1.0429184549356223,1,0.7132667617689016,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,46.0,3.0,0.2598752598752599,1,0.9742489270386266,1,-0.2796005706134094,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,34.0,2.0,0.9514899514899515,1,-0.3218884120171674,2,0.4051355206847361,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,45.0,2.0,-0.10741510741510742,1,0.06437768240343347,4,0.8388017118402282,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,58.0,3.0,-0.16354816354816354,1,-0.49356223175965663,2,-0.268188302425107,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,49.0,3.0,13.981981981981981,1,0.21030042918454936,3,-0.28530670470756064,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,38.0,2.2,0.11365211365211365,2,3.0686695278969958,1,-0.28530670470756064,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,49.0,2.0,-0.25571725571725573,2,0.2875536480686695,1,0.8502139800285307,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
